,No.,Code,Name,Prev.,Close,Change,%
731,732.0,PAMG,Bima Sakti Pertiwi Tbk.,94,93,-1,-1.06%
732,733.0,PANI,Pratama Abadi Nusa Industri Tbk.,8225,8400,175,2.13%
733,734.0,PANR,Panorama Sentrawisata Tbk.,208,206,-2,-0.96%
734,735.0,PANS,Panin Sekuritas Tbk.,1500,1570,70,4.67%
735,736.0,PBID,Panca Budi Idaman Tbk.,1655,1675,20,1.21%
736,737.0,PBRX,Pan Brothers Tbk.,128,129,1,0.78%
737,738.0,PBSA,Paramita Bangun Sarana Tbk.,294,288,-6,-2.04%
738,739.0,PCAR,Prima Cakrawala Abadi Tbk.,125,123,-2,-1.60%
739,740.0,PDES,Destinasi Tirta Nusantara Tbk,208,208,0,0.00%
740,741.0,PEGE,Panca Global Kapital Tbk.,925,870,-55,-5.95%
741,742.0,PEHA,Phapros Tbk.,925,935,10,1.08%
742,743.0,PGAS,Perusahaan Gas Negara Tbk.,1595,1540,-55,-3.45%
743,744.0,PGJO,Tourindo Guide Indonesia Tbk.,72,72,0,0.00%
744,745.0,PGLI,Pembangunan Graha Lestari Indah Tbk.,206,224,18,8.74%
745,746.0,PGUN,Pradiksi Gunatama Tbk.,675,0,0,0.00%
746,747.0,PICO,Pelangi Indah Canindo Tbk,123,128,5,4.07%
747,748.0,PJAA,Pembangunan Jaya Ancol Tbk.,595,585,-10,-1.68%
748,749.0,PKPK,Perdana Karya Perkasa Tbk,195,195,0,0.00%
749,750.0,PLAN,Planet Properindo Jaya Tbk.,37,37,0,0.00%
750,751.0,PLAN-W,Waran Seri I Planet Properindo Jaya Tbk.,8,8,0,0.00%
751,752.0,PLAS,Polaris Investama Tbk,50,0,0,0.00%
752,753.0,PLAS-W,Warrant Seri I Plastpack Prima,0,0,0,0.00%
753,754.0,PLIN,Plaza Indonesia Realty Tbk.,2100,2100,0,0.00%
754,755.0,PMJS,Putra Mandiri Jembar Tbk.,169,170,1,0.59%
755,756.0,PMMP,Panca Mitra Multiperdana Tbk.,390,382,-8,-2.05%
756,757.0,PNBN,Bank Pan Indonesia Tbk,1875,1890,15,0.80%
757,758.0,PNBS,Bank Panin Dubai Syariah Tbk.,72,71,-1,-1.39%
758,759.0,PNBS-R,Right II Bank Panin Dubai Syariah Tbk,0,0,0,0.00%
759,760.0,PNGO,Pinago Utama Tbk.,1325,1325,0,0.00%
760,761.0,PNIN,Paninvest Tbk.,880,870,-10,-1.14%
761,762.0,PNLF,Panin Financial Tbk.,424,420,-4,-0.94%
762,763.0,PNLF-R,Right VII Panin Financial Tbk,0,0,0,0.00%
763,764.0,PNLF-W2,Warrant Seri IIB Panin Life,0,0,0,0.00%
764,765.0,PNLF-W3,Warrant Seri III A Panin Life,0,0,0,0.00%
765,766.0,PNSE,Pudjiadi & Sons Tbk.,505,0,0,0.00%
766,767.0,POLA,Pool Advista Finance Tbk.,93,92,-1,-1.08%
767,768.0,POLA-W,Waran Seri I Pool Advista Finance Tbk.,63,56,-7,-11.11%
768,769.0,POLI,Pollux Hotels Group Tbk.,825,825,0,0.00%
769,770.0,POLL,Pollux Properties Indonesia Tbk.,416,404,-12,-2.88%
770,771.0,POLU,Golden Flower Tbk.,560,555,-5,-0.89%
771,772.0,POLY,Asia Pacific Fibers Tbk,54,53,-1,-1.85%
772,773.0,POOL,Pool Advista Indonesia Tbk.,50,0,0,0.00%
773,774.0,POOL-R,Right II Pool Advista Indonesia Tbk,0,0,0,0.00%
774,775.0,PORT,Nusantara Pelabuhan Handal Tbk.,560,525,-35,-6.25%
775,776.0,POSA,Bliss Properti Indonesia Tbk.,50,0,0,0.00%
776,777.0,POSA-W,Waran Seri I Bliss Propertindo Indo. Tbk,0,0,0,0.00%
777,778.0,POWR,Cikarang Listrindo Tbk.,685,675,-10,-1.46%
778,779.0,PPGL,Prima Globalindo Logistik Tbk.,148,146,-2,-1.35%
779,780.0,PPGL-W,Waran Seri I Prima Globalindo Logistik Tbk.,1,2,1,100.00%
780,781.0,PPRE,PP Presisi Tbk.,145,143,-2,-1.38%
781,782.0,PPRO,PP Properti Tbk.,50,50,0,0.00%
782,783.0,PPRO-R,Right I PP Properti Tbk,0,0,0,0.00%
783,784.0,PRAS,Prima Alloy Steel Universal Tbk.,206,204,-2,-0.97%
784,785.0,PRDA,Prodia Widyahusada Tbk.,6250,6250,0,0.00%
785,786.0,PRIM,Royal Prima Tbk.,234,234,0,0.00%
786,787.0,PRIM-W,Waran Seri I Royal Prima Tbk,0,0,0,0.00%
787,788.0,PSAB,J Resources Asia Pasifik Tbk.,119,118,-1,-0.84%
788,789.0,PSDN,Prasidha Aneka Niaga Tbk,111,110,-1,-0.90%
789,790.0,PSGO,Palma Serasih Tbk.,180,180,0,0.00%
790,791.0,PSKT,Red Planet Indonesia Tbk.,52,58,6,11.54%
